Close,RSI,MACD,Upper_band,Lower_band,EMA_20,EMA_50
163.22999572753906,56.211218904893364,0.0,295.3671044044391,267.9886901176285,163.22999572753906,163.22999572753906
165.9199981689453,100.0,0.1716696714743648,295.3671044044391,267.9886901176285,163.48618643624442,163.3354860193589
169.82000732421875,100.0,0.5187678911614876,295.3671044044391,267.9886901176285,164.08940747319437,163.5897809724907
172.05999755859375,100.0,0.8505049576392247,295.3671044044391,267.9886901176285,164.84851129085143,163.92194632880847
169.3800048828125,76.7159517392509,0.8393034574990856,295.3671044044391,267.9886901176285,165.28008210913345,164.1359878407302
168.9600067138672,74.01514880206281,0.7560565360876812,295.3671044044391,267.9886901176285,165.63055111910808,164.32516505144145
170.24000549316406,76.53298372471787,0.7387835095082985,295.3671044044391,267.9886901176285,166.06954677378008,164.55711957856784
175.5800018310547,83.28844806085752,1.0211828449146907,295.3671044044391,267.9886901176285,166.97530439828242,164.98938947082223
174.4600067138672,78.54606187921421,1.0620181261777701,295.3671044044391,267.9886901176285,167.68813319024287,165.36078622545145
171.52000427246094,68.33262696994402,0.8307359155599396,295.3671044044391,267.9886901176285,168.05307329331126,165.60232418807925
166.3300018310547,55.57555299412701,0.2955367696974105,295.3671044044391,267.9886901176285,167.8889712492868,165.63086056623516
166.47000122070312,55.798151359174256,-0.06262092280355458,295.3671044044391,267.9886901176285,167.75383124656454,165.66376804288097
165.1999969482422,53.372135907216496,-0.3808776580721609,295.3671044044391,267.9886901176285,167.5106089324386,165.64558094113045
168.08999633789062,57.57009656772219,-0.3910918899853151,295.3671044044391,267.9886901176285,167.5657886853388,165.74144036845436
167.5,56.53105834610345,-0.4288894215551382,295.3671044044391,267.9886901176285,167.5595230962589,165.81040349126008
162.05999755859375,44.554173241568165,-0.7905327551907226,295.3671044044391,267.9886901176285,167.03575875933842,165.6633287488026
159.16000366210938,34.52379159064587,-1.1722992270176502,295.3671044044391,267.9886901176285,166.2856868453166,165.4082963924617
160.3699951171875,32.5052202364315,-1.2817040921889689,295.3671044044391,267.9886901176285,165.72228763311384,165.2107159502941
159.2100067138672,34.05454986528328,-1.3629881099841286,295.3671044044391,267.9886901176285,165.1020704027094,164.97539401945383
162.88999938964844,41.36555668808832,-1.1104026719102524,176.45170986215737,157.39329288442468,164.89139697289406,164.89361383789284
163.44000244140625,40.12200836352658,-0.8590130663434038,176.44552657433417,157.42047684363456,164.75316892227616,164.8366094694032
168.6999969482422,39.98251058429578,-0.31901272814736437,176.60342657686394,157.54057671903448,165.1290573057015,164.9881148607302
168.14999389648438,40.65736197608023,0.003522139466456853,176.44754705545554,157.52945489766947,165.41676555244274,165.11211011703432
169.3699951171875,46.64584867743559,0.2857955623491211,176.08311960738217,157.62488210160222,165.79326360622795,165.27908599939326
172.3300018310547,60.06036999777923,0.6384283521124294,176.4912156083921,157.51178579541647,166.4158101038305,165.5555925025957
165.72000122070312,48.96665685573729,0.4044848189067709,176.29901400239046,157.37998685210172,166.3495425911517,165.5620399033058
166.88999938964844,52.33490432786647,0.31072976079782744,175.99564718937418,157.34835305476642,166.401014667199,165.61411674590747
161.3800048828125,41.35532446087007,-0.11725282482010416,174.56420437431674,157.35979617499967,165.92282325916221,165.44807314343316
163.07000732421875,44.45001796952064,-0.2725329676349743,173.08598358304576,157.6990170273058,165.65112650345333,165.35481566032672
163.61000061035156,52.2136598772758,-0.3215182006480187,172.15908737875645,157.83491286538418,165.45673356125317,165.28639154071988
165.0500030517578,58.77794964459045,-0.24314266989325997,172.06775709342588,157.79824327278504,165.41799732225363,165.27712140389784
165.10000610351562,57.30165684431693,-0.1772007970564234,171.96334045497048,157.76566039952172,165.38771244427858,165.27017570584366
161.0800018310547,52.65247534352837,-0.3818433647523263,171.95277268487345,157.3642286579,164.9774542906382,165.10585516173427
157.42999267578125,42.248716412375295,-0.720872793857926,171.90570210130255,156.34529887525997,164.25864842255658,164.80484094659886
158.4199981689453,42.96129892191535,-0.828602911437887,171.67897045530492,155.6640303381521,163.7025864936412,164.5544549553183
154.52999877929688,29.338016429997637,-1.0952536681823204,172.27102766306086,154.3189732524665,162.82900671132268,164.1613390268469
152.2899932861328,27.959992994024134,-1.3397394690187614,173.04949544691115,152.85350443101854,161.82529114701887,163.6957960566228
147.57000732421875,22.391107235864183,-1.7127293778028911,174.50372716354644,150.11927393508637,160.46764506865696,163.06341218476385
143.5,14.486334572255927,-2.101326649664648,176.30865309831137,146.7433473289347,158.851678871642,162.29621955006724
152.4600067138672,34.559863715687726,-1.6430009993097587,176.31115501159357,145.69784614807438,158.24294818994915,161.9104857133535
153.0500030517578,33.66384424802223,-1.208276433573959,176.14480291624764,144.82519830445548,157.7483819863119,161.5630158050556
152.97000122070312,38.613595477484516,-0.8511373620354803,175.20033162891835,144.19667001903085,157.29329810387296,161.22603484096337
154.25999450683594,37.94140510294144,-0.4719793934174783,174.15211252144604,143.8558891875383,157.0044120470123,160.95285678864465
154.8800048828125,38.077044107074016,-0.14057750154547133,172.70911729472942,143.84988539081746,156.80208755518376,160.714705733514
149.82000732421875,31.071357454821992,-0.21864526046461386,170.43499009458125,143.87301314028204,156.1371275331871,160.28746265863967
156.22999572753906,40.480781103080155,0.18321782205585935,169.3352804544483,144.0237222310986,156.1459721231254,160.12834630840044
158.08999633789062,46.63515084493426,0.5740387495284218,167.9793546947599,144.49964768561117,156.33111728643638,160.04841101543929
159.52000427246094,52.47572999792139,0.9087017108666675,167.7434944506941,144.54950786864183,156.63482080891492,160.0276891823813
