Date,Open,High,Low,Close,Adj Close,Volume,7_Day_MA,30_Day_MA,Price_Change_Percentage,Volatility,RSI
2018-10-15,173.7100067138672,174.0399932861328,171.55999755859375,172.2100067138672,166.57749938964844,64885300,,,,,
2018-10-16,174.02000427246094,177.64999389648438,173.6999969482422,177.22000122070312,171.4236297607422,71979700,,,2.909235416940792,,100.0
2018-10-17,178.0800018310547,178.25999450683594,175.47000122070312,177.2899932861328,171.49131774902344,66987600,,,0.03949445037105814,,100.0
2018-10-18,176.6199951171875,176.67999267578125,172.44000244140625,173.17999267578125,167.51573181152344,82486200,,,-2.3182360911471855,,55.277406500352825
2018-10-19,174.5800018310547,176.07000732421875,172.38999938964844,173.02000427246094,167.3609619140625,82923700,,,-0.09238272900256028,,54.33154905672694
2018-10-22,174.05999755859375,175.25,172.58999633789062,173.91000366210938,168.2218780517578,52909300,,,0.5143910343724967,,58.300786634221794
2018-10-23,170.63999938964844,174.1300048828125,168.82000732421875,173.27000427246094,167.60284423828125,77567000,174.3000008719308,,-0.3680060814051256,,54.87132378721793
2018-10-24,173.07000732421875,173.36000061035156,165.0399932861328,165.33999633789062,159.93218994140625,102997400,173.31857081821985,,-4.576676712087258,2.346266788201404,31.73839223642466
2018-10-25,167.91000366210938,172.0800018310547,167.16000366210938,171.05999755859375,165.4651336669922,83481100,172.4385702950614,,3.4595387367819086,2.4867404485298676,47.655911276271354
2018-10-26,165.1999969482422,169.9600067138672,164.22999572753906,166.66000366210938,161.20901489257812,130970900,170.92000034877233,,-2.5721933586355994,2.5900377658075664,40.40786833020826
2018-10-29,169.2100067138672,169.86000061035156,160.08999633789062,163.22999572753906,157.89117431640625,111871900,169.49857221330916,,-2.05808703900211,2.5672335181792887,36.12482223219776
2018-10-30,162.75,166.0399932861328,162.00999450683594,165.9199981689453,160.4932098388672,92584000,168.48428562709265,,1.647982914792423,2.727935135422202,41.02708882229099
2018-10-31,168.6199951171875,171.25,168.5399932861328,169.82000732421875,164.26565551757812,73828600,167.9000004359654,,2.3505359199090137,2.929800619109298,46.9319645996066
2018-11-01,170.07000732421875,172.24000549316406,168.77999877929688,172.05999755859375,166.43240356445312,52706800,167.72714233398438,,1.319037885859009,2.9922290850267466,49.81790580000867
2018-11-02,171.52999877929688,172.5500030517578,168.22000122070312,169.3800048828125,163.84002685546875,75966800,168.30428641183036,,-1.5575919526958026,2.3898885766867424,46.7745576357805
2018-11-05,169.60000610351562,169.66000366210938,167.0800018310547,168.9600067138672,163.43377685546875,39573500,168.00428771972656,,-0.24796207157739003,1.9639058560570812,39.48574596203248
2018-11-06,168.97000122070312,171.19000244140625,168.72000122070312,170.24000549316406,164.67193603515625,34410400,168.51571655273438,,0.757575004991895,1.6622914723999955,41.29415967729293
2018-11-07,172.27999877929688,175.5800018310547,171.8699951171875,175.5800018310547,169.8372802734375,51169600,170.2800031389509,,3.136745867941748,1.583517575074307,52.87633025268081
2018-11-08,174.75999450683594,175.3000030517578,173.6300048828125,174.4600067138672,168.75390625,40296500,171.500004359654,,-0.6378830763797194,1.6746573577692905,51.68697597062075
2018-11-09,172.8300018310547,173.25,170.16000366210938,171.52000427246094,165.91004943847656,50602700,171.74286106654577,,-1.6852013804104504,1.718489819919816,47.32841536112983
2018-11-12,170.32000732421875,170.63999938964844,166.17999267578125,166.3300018310547,160.8898162841797,62578400,170.9242902483259,,-3.0258875420512976,1.9910234670017908,42.95860124460694
2018-11-13,167.11000061035156,169.47999572753906,166.0,166.47000122070312,161.02517700195312,64128100,170.50857543945312,,0.08416965556858891,1.9369333133785944,51.36178012627763
2018-11-14,168.1199951171875,168.6999969482422,164.25,165.1999969482422,159.79678344726562,75270700,169.971431187221,,-0.7629027831730362,1.9474258170274164,42.08963057163207
2018-11-15,164.89999389648438,168.5399932861328,163.4600067138672,168.08999633789062,162.5922393798828,73254300,169.66428702218192,,1.7493943359780273,2.0698344172408625,52.012373662977005
2018-11-16,166.4499969482422,168.30999755859375,165.77999877929688,167.5,162.02154541015625,65390700,168.51000104631697,,-0.35100026815672036,1.478398788374289,56.53105834610345
2018-11-19,166.6999969482422,166.89999389648438,161.5399932861328,162.05999755859375,156.7594757080078,67280500,166.7385711669922,,-3.247762651585817,1.7715338850803186,44.554173241568165
2018-11-20,158.3699951171875,161.3800048828125,157.1300048828125,159.16000366210938,153.95431518554688,102652800,164.97285679408483,,-1.7894569543208005,1.7783446233201476,34.52379159064587
2018-11-21,161.35000610351562,161.97000122070312,159.22999572753906,160.3699951171875,155.1247100830078,42965800,164.12142726353235,,0.7602358803954878,1.6478759937622978,32.5052202364315
2018-11-23,159.08999633789062,160.83999633789062,159.08999633789062,159.2100067138672,154.00271606445312,23503700,163.08428519112724,,-0.7233200964261832,1.6276371359404762,34.05454986528328
2018-11-26,161.44000244140625,162.97000122070312,160.75999450683594,162.88999938964844,157.56234741210938,42012600,162.75428553989954,168.720334370931,2.3114079018883293,1.9638204106726493,41.36555668808832
2018-11-27,162.0,163.85000610351562,161.17999267578125,163.44000244140625,158.09432983398438,36608100,162.09000069754464,168.4280008951823,0.33765305041357774,1.7975875749147951,40.12200836352658
2018-11-28,164.6199951171875,168.6999969482422,163.47000122070312,168.6999969482422,163.1822967529297,70141000,162.2614288330078,168.1440007527669,3.218303003098444,2.2567661317308225,39.98251058429578
2018-11-29,167.99000549316406,169.25999450683594,166.82000732421875,168.14999389648438,162.65029907226562,44885700,163.13142830984933,167.8393341064453,-0.3260243400754481,1.7403531983011507,40.65736197608023
2018-11-30,168.3800048828125,169.47000122070312,167.5399932861328,169.3699951171875,163.83038330078125,36722800,164.58999851771765,167.71233418782552,0.7255434225315271,1.4065979071438313,46.64584867743559
2018-12-03,173.11000061035156,173.30999755859375,169.50999450683594,172.3300018310547,166.69354248046875,50771700,166.29857090541296,167.6893341064453,1.7476570816567394,1.4393133214734206,60.06036999777923
2018-12-04,171.42999267578125,171.91000366210938,165.52000427246094,165.72000122070312,160.2997589111328,70594700,167.22857012067522,167.4163340250651,-3.835664446189546,2.2992284170307076,48.96665685573729
2018-12-06,162.3800048828125,166.91000366210938,161.77000427246094,166.88999938964844,161.43150329589844,71715500,167.7999986921038,167.20366719563802,0.7060090274722652,2.1765091646450774,52.33490432786647
2018-12-07,166.16000366210938,167.1199951171875,160.86000061035156,161.3800048828125,156.10169982910156,80432200,167.5057133265904,167.07166748046876,-3.3015726088963637,2.581775123020165,41.35532446087007
2018-12-10,161.0800018310547,163.77999877929688,159.41000366210938,163.07000732421875,157.73648071289062,73960800,166.70142909458704,166.80533447265626,1.0472192280781334,2.213522991224641,44.45001796952064
2018-12-11,165.72999572753906,165.77000427246094,162.22999572753906,163.61000061035156,158.25872802734375,59058300,166.05285862513952,166.70366770426432,0.331142001520357,2.2341115139215066,52.2136598772758
2018-12-12,166.0,167.60000610351562,164.9600067138672,165.0500030517578,159.6516571044922,53780000,165.4357169015067,166.76433461507162,0.8801432895509276,2.2474540222902184,58.77794964459045
