Date,Close,RSI,MACD,Upper_band,Lower_band,EMA_20,EMA_50
12/18/2018,158.4199982,42.96129892,-0.599504614,171.6789705,155.6640303,163.9615813,166.8746117
12/19/2018,154.5299988,29.33801643,-0.879118652,172.2710277,154.3189733,163.0633353,166.3905092
12/20/2018,152.2899933,27.95999299,-1.136185896,173.0494954,152.8535044,162.0373028,165.8375478
12/21/2018,147.5700073,22.39110724,-1.521322318,174.5037272,150.1192739,160.6594651,165.1211737
12/24/2018,143.5,14.48633457,-1.921593013,176.3086531,146.7433473,159.0252303,164.2732845
12/26/2018,152.4600067,34.55986372,-1.474441972,176.311155,145.6978461,158.3999709,163.8100187
12/27/2018,153.0500031,33.66384425,-1.050377756,176.1448029,144.8251983,157.8904502,163.3880573
12/28/2018,152.9700012,38.61359548,-0.703377757,175.2003316,144.19667,157.421836,162.9795061
12/31/2018,154.2599945,37.9414051,-0.333837401,174.1521125,143.8558892,157.1207082,162.6375645
1/2/2019,154.8800049,38.07704411,-0.011536964,172.7091173,143.8498854,156.9073079,162.3333464
1/3/2019,149.8200073,31.07135745,-0.098199656,170.4349901,143.8730131,156.2323269,161.8426272
1/4/2019,156.2299957,40.4807811,0.295562012,169.3352805,144.0237222,156.2321049,161.6225241
1/7/2019,158.0899963,46.63515084,0.678759488,167.9793547,144.4996477,156.4090469,161.4839936
1/8/2019,159.5200043,52.47573,1.00625953,167.7434945,144.5495079,156.7053286,161.4069744
1/9/2019,160.8200073,52.8222118,1.271091328,167.3893366,144.6786657,157.0972027,161.3839561
1/10/2019,161.2799988,58.63392253,1.426256313,166.9898524,144.8451497,157.4955643,161.3798793
1/11/2019,160.6900024,61.21796478,1.434291765,166.1701043,145.2288978,157.7997965,161.3528253
1/14/2019,159.2700043,67.13532097,1.293450225,165.0700681,145.7459337,157.9398163,161.271146
1/15/2019,162.3800049,78.45088766,1.352824522,165.31161,145.6343922,158.3626914,161.3146307
1/16/2019,162.3500061,70.39176415,1.331106941,165.9997413,145.4382622,158.7424356,161.3552337
1/17/2019,163.6300049,71.21092075,1.340268136,166.7983551,145.1606491,159.2079184,161.4444404
1/18/2019,165.25,73.18732598,1.386946334,168.0692316,144.9617727,159.7833548,161.593678
1/22/2019,161.9400024,63.47370534,1.136910768,168.6145543,145.3814509,159.9887498,161.6072594
1/23/2019,162.1499939,62.94054443,0.936054267,168.6623374,146.7916665,160.1945826,161.6285431
1/24/2019,163.1999969,77.78240358,0.8280256,167.6108961,149.8131075,160.4808125,161.6901687
1/25/2019,165.1499939,72.73192489,0.839390934,168.1778154,150.5151869,160.9254964,161.8258481
1/28/2019,163.1100006,62.67679605,0.668449327,168.3089447,151.3900574,161.1335445,161.876207
1/29/2019,161.5700073,55.1481853,0.422587604,168.1180701,152.4409326,161.1751123,161.8641992
1/30/2019,165.6799927,60.69541846,0.502261156,168.5043965,153.196606,161.6041486,162.0138382
1/31/2019,168.1600037,63.90464043,0.676631382,169.2907012,153.7383012,162.2285157,162.2548643
2/1/2019,167.4499969,63.59614368,0.696093215,168.3811966,156.4108047,162.7257996,162.458595
2/4/2019,169.5299988,70.10189079,0.793906538,169.1166553,157.0053463,163.3738186,162.7359049
2/5/2019,171.0299988,68.08867338,0.896877686,170.2711978,157.1448041,164.1029786,163.0611635
2/6/2019,170.5200043,66.74868511,0.867366421,171.1774313,157.3385706,164.7141239,163.3536671
2/7/2019,168.2299957,59.0551077,0.640791535,171.5663371,157.6906637,165.0489689,163.5448956
2/8/2019,168.5599976,56.86437074,0.468320866,171.9544841,158.0305165,165.3833525,163.7415663
2/11/2019,168.3999939,65.41029124,0.306464466,172.1890762,158.5669236,165.6706517,163.9242497
2/12/2019,170.8899994,68.80379395,0.328164563,172.5553212,159.3626781,166.1677325,164.1974164
2/13/2019,171.0099945,67.50335817,0.311780283,173.1285909,159.6524073,166.6289003,164.4645763
2/14/2019,171.2200012,64.75450939,0.277418063,173.6197983,160.0481994,167.066148,164.7294949
2/15/2019,171.9400024,72.93505151,0.26550331,174.2242878,160.2747097,167.5303246,165.0122599
2/19/2019,172.2799988,79.66753626,0.243426625,174.8545043,160.347493,167.9826745,165.2972693
2/20/2019,172.25,73.51464709,0.191970892,175.1377433,161.0952539,168.3890865,165.5699254
2/21/2019,171.6199951,64.27386195,0.086069807,175.1811599,161.9988374,168.6967921,165.807183
2/22/2019,172.8899994,71.45107449,0.072652915,175.4173233,162.7316742,169.0961451,166.0849406
2/25/2019,173.5200043,67.76489835,0.076897803,175.8500457,163.1359528,169.5174651,166.3765117
2/26/2019,173.6999969,63.47120621,0.063096234,175.8859621,164.159036,169.9158014,166.6637072
2/27/2019,173.5899963,66.14082012,0.020056495,175.1509437,166.0960534,170.2657247,166.9353264
2/28/2019,173.1900024,82.5459315,-0.057605357,175.0171955,166.9808026,170.5442274,167.1806078
3/1/2019,174.3899994,84.33449976,-0.050657543,175.367757,167.2532406,170.9104914,167.463329
3/4/2019,174.4199982,86.00480761,-0.065593336,175.512305,167.8056927,171.2447301,167.7361396
3/5/2019,174.5500031,80.50003052,-0.086930735,175.8327557,167.9872425,171.559518,168.0033499
3/6/2019,173.5599976,68.55894615,-0.182440308,176.0027021,168.070296,171.7500399,168.2212577
3/7/2019,171.4299927,51.19448948,-0.391769073,175.9954794,168.1685175,171.7195592,168.3470904
3/8/2019,171.1699982,45.37812663,-0.541231527,175.7326649,168.7253322,171.6672201,168.4577927
3/11/2019,174.7299957,60.60604459,-0.400319324,175.7558486,169.3191483,171.958913,168.7037614
3/12/2019,175.6900024,63.78204893,-0.249805694,175.7806525,170.0233453,172.3142548,168.9777316
3/13/2019,177.0099945,70.46317441,-0.077621467,176.4626743,169.953323,172.7614681,169.2927223
3/14/2019,176.7100067,65.65579122,-0.004087127,176.9303995,170.0555991,173.1375194,169.5835962
3/15/2019,178.3500061,68.28164472,0.127575349,177.7429979,169.9560011,173.6339467,169.927377
3/18/2019,178.4499969,68.08838261,0.190198933,178.4646738,169.8853246,174.0926182,170.2615974
3/19/2019,179.0500031,70.04410715,0.237743748,179.2215933,169.8054056,174.5647501,170.6062408
3/20/2019,179.7599945,73.58220645,0.279822247,180.0162531,169.7617452,175.0595353,170.9652115
3/21/2019,182.5700073,76.31921322,0.449649428,181.3692429,169.5037567,175.7748183,171.4203015
3/22/2019,178.5599976,60.60450431,0.254381634,181.6821959,169.7578035,176.0400735,171.7002896
3/25/2019,178.2200012,59.3005549,0.074147541,181.9225874,169.9874116,176.2476856,171.9559646
3/26/2019,179.0500031,64.026591,-0.012717999,182.243872,170.2011277,176.514573,172.2341622
3/27/2019,177.8999939,67.40183565,-0.162838993,182.3705236,170.5054758,176.6465179,172.4563516
3/28/2019,178.3099976,69.05015287,-0.244810171,182.4763622,170.9116368,176.8049445,172.6859064
3/29/2019,179.6600037,64.91229204,-0.21922257,182.7779677,171.1370317,177.0768549,172.9594004
4/1/2019,182.0399933,67.68799979,-0.061329759,183.4499105,171.2270884,177.5495347,173.3155021
4/2/2019,182.7299957,66.51269862,0.063501141,184.1605827,171.3344155,178.042912,173.6846979
4/3/2019,183.7799988,69.56276489,0.1838953,184.8915862,171.6254121,178.5893012,174.0805921
4/4/2019,183.7100067,66.24241107,0.223302729,185.1055232,172.6394765,179.0769874,174.4582162
4/5/2019,184.6600037,67.89625092,0.274467805,185.1591657,173.9348346,179.6087033,174.8582863
4/8/2019,185.1300049,67.65387925,0.299062415,185.7269487,174.4070524,180.1345415,175.2610988
4/9/2019,184.4799957,63.75288992,0.233555812,186.1000967,174.9129038,180.5483943,175.6226241
4/10/2019,185.4700012,59.45237555,0.219139062,186.6869074,175.1720938,181.0171188,176.0087958
4/11/2019,185.0299988,77.48509127,0.145740964,187.0209426,175.6700577,181.3992978,176.3625684
4/12/2019,185.8300018,81.11195535,0.118024229,187.5475777,175.8914222,181.8212696,176.7338403
4/15/2019,185.8600006,79.78995512,0.07098377,187.9846813,176.195319,182.2059107,177.091729
4/16/2019,186.5,89.3772689,0.053064542,188.4884249,176.4365751,182.6148716,177.4606808
4/17/2019,187.1499939,89.60570536,0.054854173,189.0629814,176.6010185,183.046788,177.8406539
4/18/2019,187.3899994,88.45767851,0.042613594,189.625853,176.5201461,183.4604272,178.215138
4/22/2019,187.9199982,85.85363494,0.040630392,190.0736737,177.0083255,183.8851482,178.5957207
4/23/2019,190.3099976,88.28280213,0.163788566,190.8404796,177.4505193,184.4970386,179.0551041
4/24/2019,189.7100067,81.37571349,0.167739277,191.3627463,177.9942529,184.9935118,179.4729435
4/25/2019,190.4799957,83.34971963,0.183812559,191.6656255,178.9493739,185.5160341,179.9045926
4/26/2019,190.6499939,81.96367853,0.167932486,191.8001551,180.048844,186.0049826,180.3259809
4/29/2019,191.0200043,81.76912985,0.145238687,192.0033231,180.981676,186.4826037,180.7453543
4/30/2019,189.5399933,75.04947773,0.001068755,192.117131,181.6178681,186.7737837,181.0902421
5/1/2019,188.9299927,67.79830772,-0.156162845,192.1217451,182.2332537,186.9791369,181.3976833
5/2/2019,188.1100006,65.24754764,-0.326384142,192.0845395,182.7034594,187.0868382,181.6609115
5/3/2019,191.1100006,71.46343097,-0.251296984,192.3980699,183.1299284,187.4699965,182.031464
5/6/2019,189.9400024,65.17859272,-0.291938215,192.5168318,183.5391665,187.7052352,182.3416027
5/7/2019,186.2400055,49.21213713,-0.563778503,192.4471681,183.7198302,187.5656895,182.4944813
5/8/2019,185.7700043,45.77208856,-0.758863818,192.3213852,183.974614,187.3946719,182.6229332
5/9/2019,184.7700043,42.33021904,-0.927707587,192.3913695,183.83463,187.1447035,182.707132
5/10/2019,185,41.29916258,-0.990642708,192.3944391,183.8285605,186.9404461,182.7970484
5/13/2019,178.5800018,21.8164207,-1.406026376,193.7340346,181.763965,186.1442133,182.631674
5/14/2019,180.5399933,29.31885319,-1.482546889,194.2441015,180.7218973,185.610478,182.5496473
5/15/2019,183.0899963,34.57202436,-1.301631022,194.3445337,180.2804648,185.3704322,182.5708375
5/16/2019,184.9299927,38.8368417,-1.011187219,194.3139593,180.089039,185.3284855,182.6633534
5/17/2019,183.0399933,35.29842363,-0.903053884,194.3342605,179.6337372,185.1105339,182.6781236
5/20/2019,179.9499969,33.3217278,-0.989380506,194.5598021,178.6111955,184.6190542,182.5711382
5/21/2019,181.8300018,38.17455521,-0.873636612,194.2034617,178.1195363,184.3534302,182.5420741
5/22/2019,181.0200043,38.18726884,-0.806984797,193.8996721,177.5543257,184.035961,182.482385
5/23/2019,178.25,28.40831476,-0.897840712,193.6144239,176.6165744,183.4849171,182.3164092
5/24/2019,178.1600037,29.47734095,-0.909578397,193.1122582,175.869741,182.9777825,182.1534129
5/28/2019,177.4900055,32.95674752,-0.906052249,192.4019071,175.2270922,182.4551371,181.9705341
5/29/2019,176.0299988,31.73291499,-0.941495295,191.9525436,174.3254562,181.8432191,181.737572
5/30/2019,176.7700043,34.84848135,-0.856959998,191.3401867,173.7218143,181.3600558,181.5427654
5/31/2019,173.9499969,30.94170238,-0.926894594,191.0121411,172.6338596,180.6543359,181.2450098
6/3/2019,170.1199951,33.97726557,-1.152324749,190.2855357,171.2614644,179.6510654,180.8087347
6/4/2019,174.9100037,40.3695098,-0.910663783,188.8338962,171.2101041,179.1995357,180.5774119
6/5/2019,176.2100067,37.70553401,-0.609555827,187.976863,171.0641374,178.9148186,180.4061411
6/6/2019,177.6100006,36.71026554,-0.279201744,187.0720989,171.1529011,178.7905503,180.2964885
